# Simulation 1 (Up to date)
# 877 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (m),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
278.577,0.436,34.253
278.345,0.436,34.253
278.042,0.436,34.253
277.582,0.436,34.253
277.115,0.436,34.253
276.636,0.436,34.253
276.334,0.436,34.253
276.101,0.436,34.253
275.896,0.436,34.253
275.709,0.436,34.253
275.534,0.436,34.253
275.368,0.436,34.253
275.21,0.436,34.253
275.057,0.436,34.253
274.907,0.436,34.253
274.761,0.436,34.253
274.618,0.436,34.253
274.476,0.436,34.253
274.338,0.436,34.253
274.204,0.436,34.253
274.073,0.436,34.253
273.944,0.436,34.253
273.817,0.436,34.253
273.691,0.436,34.253
273.566,0.436,34.253
273.441,0.436,34.253
273.315,0.436,34.253
273.188,0.436,34.253
273.06,0.436,34.253
272.931,0.436,34.253
272.8,0.436,34.253
272.667,0.436,34.253
272.531,0.436,34.253
272.393,0.436,34.253
272.25,0.436,34.253
272.103,0.436,34.253
271.949,0.436,34.253
271.787,0.436,34.253
271.614,0.436,34.253
271.424,0.436,34.253
271.213,0.436,34.253
270.969,0.436,34.253
270.663,0.436,34.253
270.208,0.436,34.253
269.519,0.436,34.253
268.852,0.436,34.253
268.546,0.436,34.253
268.296,0.436,34.253
268.074,0.436,34.253
267.872,0.436,34.253
267.684,0.436,34.253
267.507,0.436,34.253
267.337,0.436,34.253
267.174,0.436,34.253
267.014,0.436,34.253
266.857,0.436,34.253
266.703,0.436,34.253
266.551,0.436,34.253
266.399,0.436,34.253
266.248,0.436,34.253
266.099,0.436,34.253
265.951,0.436,34.253
265.804,0.436,34.253
265.657,0.436,34.253
265.509,0.436,34.253
265.36,0.436,34.253
265.207,0.436,34.253
265.05,0.436,34.253
264.886,0.436,34.253
264.713,0.436,34.253
264.529,0.436,34.253
264.33,0.436,34.253
264.11,0.436,34.253
263.856,0.436,34.253
263.548,0.436,34.253
263.122,0.436,34.253
262.48,0.436,34.253
261.636,0.436,34.253
261.274,0.436,34.253
260.986,0.436,34.253
260.737,0.436,34.253
260.511,0.436,34.253
260.301,0.436,34.253
260.101,0.436,34.253
259.91,0.436,34.253
259.725,0.436,34.253
259.544,0.436,34.253
259.367,0.436,34.253
259.191,0.436,34.253
259.017,0.436,34.253
258.844,0.436,34.253
258.672,0.436,34.253
258.499,0.436,34.253
258.325,0.436,34.253
258.15,0.436,34.253
257.971,0.436,34.253
257.785,0.436,34.253
257.589,0.436,34.253
257.379,0.436,34.253
257.151,0.436,34.253
256.894,0.436,34.253
256.595,0.436,34.253
256.224,0.436,34.253
255.673,0.436,34.253
254.844,0.436,34.253
254.146,0.436,34.253
253.792,0.436,34.253
253.501,0.436,34.253
253.248,0.436,34.253
253.019,0.436,34.253
252.805,0.436,34.253
252.603,0.436,34.253
252.408,0.436,34.253
252.216,0.436,34.253
252.028,0.436,34.253
251.84,0.436,34.253
251.652,0.436,34.253
251.461,0.436,34.253
251.266,0.436,34.253
251.065,0.436,34.253
250.856,0.436,34.253
250.635,0.436,34.253
250.398,0.436,34.253
250.139,0.436,34.253
249.85,0.436,34.253
249.51,0.436,34.253
249.071,0.436,34.253
248.412,0.436,34.253
247.42,0.436,34.253
246.978,0.436,34.253
246.658,0.436,34.253
246.383,0.436,34.253
246.134,0.436,34.253
245.901,0.436,34.253
245.677,0.436,34.253
245.459,0.436,34.253
245.243,0.436,34.253
245.027,0.436,34.253
244.811,0.436,34.253
244.591,0.436,34.253
244.364,0.436,34.253
244.127,0.436,34.253
243.876,0.436,34.253
243.605,0.436,34.253
243.301,0.436,34.253
242.938,0.436,34.253
242.45,0.436,34.253
241.717,0.436,34.253
240.617,0.436,34.253
240.147,0.436,34.253
239.777,0.436,34.253
239.447,0.436,34.253
239.14,0.436,34.253
238.847,0.436,34.253
238.561,0.436,34.253
238.276,0.436,34.253
237.987,0.436,34.253
237.687,0.436,34.253
237.37,0.436,34.253
237.021,0.436,34.253
236.62,0.436,34.253
236.086,0.436,34.253
235.285,0.436,34.253
234.155,0.436,34.253
233.684,0.436,34.253
233.299,0.436,34.253
232.933,0.436,34.253
232.567,0.436,34.253
232.189,0.436,34.253
231.811,0.436,34.253
231.43,0.436,34.253
231.033,0.436,34.253
230.567,0.436,34.253
229.929,0.436,34.253
228.975,0.436,34.253
227.87,0.436,34.253
227.184,0.437,34.253
226.715,0.437,34.253
226.302,0.437,34.253
225.905,0.437,34.253
225.505,0.437,34.253
225.065,0.437,34.253
224.537,0.437,34.253
223.783,0.437,34.253
222.694,0.437,34.253
221.612,0.437,34.253
221.069,0.437,34.253
220.625,0.437,34.253
220.217,0.437,34.253
219.812,0.437,34.253
219.384,0.437,34.253
218.905,0.437,34.253
218.341,0.437,34.253
217.557,0.437,34.253
216.509,0.437,34.253
215.739,0.437,34.253
215.244,0.437,34.253
214.812,0.437,34.253
214.398,0.437,34.253
213.972,0.437,34.253
213.511,0.437,34.253
212.974,0.437,34.253
212.206,0.437,34.253
211.187,0.437,34.253
210.247,0.437,34.253
209.656,0.437,34.253
209.145,0.437,34.253
208.661,0.437,34.253
208.149,0.437,34.253
207.545,0.437,34.253
206.741,0.437,34.253
205.768,0.437,34.253
204.802,0.437,34.253
204.107,0.437,34.253
203.494,0.437,34.253
202.964,0.437,34.253
202.432,0.437,34.253
201.825,0.437,34.253
200.92,0.437,34.253
199.988,0.437,34.253
199.337,0.437,34.253
198.815,0.437,34.253
198.308,0.437,34.253
197.748,0.437,34.253
196.962,0.437,34.253
196.067,0.437,34.253
195.179,0.437,34.253
194.337,0.437,34.253
193.598,0.437,34.253
192.757,0.437,34.253
191.894,0.437,34.253
191.038,0.436,34.253
190.189,0.436,34.253
189.349,0.436,34.253
188.516,0.436,34.253
187.69,0.436,34.253
186.872,0.436,34.253
186.061,0.436,34.253
185.256,0.436,34.253
184.458,0.436,34.253
183.666,0.436,34.253
182.881,0.436,34.253
182.101,0.436,34.253
181.328,0.436,34.253
180.562,0.436,34.253
179.802,0.436,34.253
179.048,0.436,34.253
178.301,0.436,34.253
177.56,0.436,34.253
176.824,0.436,34.253
176.094,0.436,34.253
175.369,0.436,34.253
174.649,0.436,34.253
173.934,0.436,34.253
173.224,0.436,34.253
172.519,0.436,34.253
171.819,0.436,34.253
171.123,0.436,34.253
170.432,0.436,34.253
169.745,0.436,34.253
169.063,0.436,34.253
168.385,0.436,34.253
167.71,0.436,34.253
167.04,0.436,34.253
166.373,0.436,34.253
165.71,0.436,34.253
165.051,0.436,34.253
164.396,0.436,34.253
163.744,0.436,34.253
163.096,0.436,34.253
162.451,0.436,34.253
161.809,0.436,34.253
161.171,0.436,34.253
160.535,0.436,34.253
159.901,0.436,34.253
159.271,0.436,34.253
158.642,0.436,34.253
158.016,0.436,34.253
157.392,0.436,34.253
156.771,0.436,34.253
156.153,0.436,34.253
155.537,0.436,34.253
154.923,0.436,34.253
154.312,0.436,34.253
153.703,0.436,34.253
153.095,0.436,34.253
152.489,0.436,34.253
151.885,0.436,34.253
151.282,0.436,34.253
150.68,0.436,34.253
150.08,0.436,34.253
149.482,0.436,34.253
148.886,0.436,34.253
148.293,0.436,34.253
147.701,0.436,34.253
147.111,0.436,34.253
